mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg,mse_dens,mae_dens,dens_dens,spec_rad_dens,av_in_degree_dens,av_out_degree_dens,clustering_coeff_dens,av_betweenness_dens
2.3769258259047535e-05,0.002940567172668892,0.0986,0.9000000000000008,9.86,9.86,0.09834886774361488,0.01264481550195836,2.2543027525440034e-05,0.0029800104143043304,0.99,0.9000000000000016,99.0,99.0,1.0,0.0,1.779217674222582e-05,0.002344688100857997,0.981,0.9000000000000004,98.1,98.1,0.9909114752253956,9.276437847866418e-05
2.3630769221361886e-05,0.0031836061486098305,0.1018,0.9000000000000017,10.18,10.18,0.10011008026017056,0.012476808905380334,1.5308604194845512e-05,0.002800672855864527,0.0598,0.9000000000000017,5.98,5.98,0.31678556900615723,0.28650793650793654,1.962995279844139e-05,0.0027366971352963164,0.0625,0.8999999999999995,6.25,6.25,0.059587250660483135,0.01717996289424861
2.8156827810869724e-05,0.003305195375483455,0.0987,0.9000000000000006,9.87,9.87,0.10132218557902861,0.012524221809936096,3.53977643434158e-05,0.0037905690204428355,0.99,0.900000000000001,99.0,99.0,1.0,0.0,2.727487718495758e-05,0.0032223435338293136,0.9814,0.8999999999999988,98.14,98.14,0.9912926551284855,8.864151721294579e-05
2.5725800939828236e-05,0.003222071746771318,0.0954,0.9000000000000018,9.54,9.54,0.09536200404189742,0.012870542156256442,2.332287288145722e-05,0.003101646595701714,0.99,0.9000000000000027,99.0,99.0,1.0,0.0,2.90608655903286e-05,0.0033732040546844855,0.9796,0.9,97.96,97.96,0.9894865164756628,0.0001071943929086786
1.869115318024796e-05,0.0025957029083238385,0.1005,0.9000000000000034,10.05,10.05,0.10237458132642695,0.012403628117913835,1.6201969578658107e-05,0.0024681784781395823,0.1494,0.9000000000000036,14.94,14.94,0.4054118298464216,0.19732838589981447,2.0796135444479937e-05,0.0026278561852823923,0.152,0.8999999999999999,15.2,15.2,0.15276275591075195,0.009396000824572254
2.4955998363046016e-05,0.0030629765039027756,0.1047,0.9000000000000025,10.47,10.47,0.10874599999795975,0.012322201607915893,2.248919810030598e-05,0.002926524692828459,0.1076,0.9000000000000039,10.76,10.76,0.3323395784256099,0.2357637600494743,2.0168843935676345e-05,0.002512437544683819,0.1032,0.8999999999999995,10.32,10.32,0.10085399863252752,0.012280972995258712
2.1863298813799287e-05,0.0030172983124607676,0.0972,0.8999999999999979,9.72,9.72,0.09810826827163346,0.012784992784992786,2.466793167771522e-05,0.0032138763490031216,0.9508,0.8999999999999987,95.08,95.08,0.97060835008844,0.0004040404040404041,2.0263947431649585e-05,0.002862523393098174,0.9427,0.9000000000000009,94.27,94.27,0.9522362535902856,0.00048752834467120183
2.862528650535961e-05,0.0034117222754991524,0.0992,0.9000000000000019,9.92,9.92,0.09611812060203082,0.012659245516388373,4.535725864771478e-05,0.004716322572238441,0.0198,0.9000000000000036,1.98,1.98,0.0,0.3333333333333332,1.683416832012945e-05,0.0022318632413405332,0.0185,0.8999999999999994,1.85,1.85,0.018996031746031747,0.034977324263038546
1.9216710075292697e-05,0.0025500509607679425,0.099,0.8999999999999989,9.9,9.9,0.10211994015013776,0.01265821480107194,2.2509626957476116e-05,0.0028171416623010885,0.9732,0.8999999999999988,97.32,97.32,0.985884363042117,0.0001731601731601732,2.7405108210947824e-05,0.0034591397752422996,0.9615,0.9000000000000005,96.15,96.15,0.9711934610938687,0.00029375386518243655
2.876259010444237e-05,0.003321145132269916,0.0971,0.899999999999999,9.71,9.71,0.10098500286471875,0.012857142857142853,3.008041982745708e-05,0.0032330249913987783,0.0758,0.8999999999999985,7.58,7.58,0.263852386991144,0.2703896103896104,1.9669028074360674e-05,0.002916692015892665,0.0758,0.9000000000000002,7.58,7.58,0.08100945461167237,0.015342197485054625
