mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand
1.2270014201299654e-05,0.0020022956352656013,0.014064,0.900000000000001,7.032,7.032,0.014888066525065448,0.004828387699092965
9.151868196900217e-06,0.0019554257625466636,0.013656,0.9000000000000004,6.828,6.828,0.012973567728189268,0.00490746150936411
1.4508704552283293e-05,0.002173019394785456,0.013408,0.9000000000000028,6.704,6.704,0.013326057740674444,0.0049682336560671544
1.732915052157672e-05,0.0024576804311600025,0.01348,0.8999999999999995,6.74,6.74,0.01319600749617199,0.0049475899590345354
1.3715985738171893e-05,0.0022636453663566003,0.01342,0.8999999999999984,6.71,6.71,0.012929889550545382,0.004941425018712124
1.9034991201988147e-05,0.002674626076890686,0.0138,0.8999999999999982,6.9,6.9,0.012907756186336833,0.004870085552631367
1.304898159857448e-05,0.0021632754375031675,0.01366,0.9,6.83,6.83,0.014411206686719287,0.0048964434893884155
1.381527546118271e-05,0.002261228728034737,0.012896,0.9000000000000012,6.448,6.448,0.0131166273531552,0.005129165962446982
1.4094865656386709e-05,0.002344566697501361,0.013364,0.9000000000000017,6.682,6.682,0.01315522638315006,0.004977609838150196
1.2491754405973736e-05,0.0020859179793470445,0.013208,0.8999999999999991,6.604,6.604,0.012119758685713872,0.0050219797023766406
1.1567971372375923e-05,0.0020199646435338408,0.013732,0.8999999999999994,6.866,6.866,0.013613097413883293,0.004913819607085657
1.276155075423376e-05,0.002187070218664349,0.013228,0.8999999999999981,6.614,6.614,0.013702205787803321,0.005016861031299546
1.4946378310815612e-05,0.0024842449020793943,0.013428,0.8999999999999968,6.714,6.714,0.012232523951584938,0.005000933594095823
1.2374212924952987e-05,0.0021756796035992455,0.013408,0.9000000000000002,6.704,6.704,0.013085917947708902,0.00498042671688759
1.323035869599574e-05,0.0022947410867693936,0.013596,0.9000000000000004,6.798,6.798,0.01294941129419341,0.004909650626554313
1.5912668294451292e-05,0.002416701877343262,0.013528,0.8999999999999995,6.764,6.764,0.014611945541586267,0.004945030623495987
1.4532699186174236e-05,0.0023846196917415617,0.013348,0.8999999999999995,6.674,6.674,0.013384601047387425,0.004994833039573121
1.0354430383041449e-05,0.0019706621025125204,0.013468,0.9000000000000001,6.734,6.734,0.013334173304998847,0.004954157310605146
1.2793118418200888e-05,0.0021376518146294684,0.01336,0.8999999999999986,6.68,6.68,0.012810909219751346,0.004957038575142253
1.0417364621244998e-05,0.002047767743640307,0.01374,0.9000000000000008,6.87,6.87,0.014472540999017073,0.004914246163008749
1.4637041364032976e-05,0.0024781711109548767,0.01352,0.8999999999999975,6.76,6.76,0.013662416557864897,0.004935590055613235
1.4556836093114062e-05,0.0022676390706625293,0.01364,0.8999999999999994,6.82,6.82,0.01311779459833945,0.004930938181584052
1.224855883790531e-05,0.002150716441266091,0.013808,0.899999999999999,6.904,6.904,0.014090865041466066,0.004843848339248779
1.1237650066507093e-05,0.001963073653007236,0.012872,0.8999999999999987,6.436,6.436,0.011942897447462226,0.00504131153874013
1.318436211139719e-05,0.0022030123675911197,0.013576,0.9000000000000021,6.788,6.788,0.01388976046602821,0.004944435054848654
8.382249705649928e-06,0.0016723033938532848,0.013816,0.8999999999999997,6.908,6.908,0.014027669627962062,0.004859027291530853
1.064734972067038e-05,0.0020032585167077104,0.013376,0.8999999999999979,6.688,6.688,0.013145649748640057,0.004968104884467729
1.2379288714713342e-05,0.0021383907725639833,0.013552,0.8999999999999991,6.776,6.776,0.014002058935957956,0.00494394411312585
1.345921972520192e-05,0.0022407204096749176,0.013568,0.8999999999999998,6.784,6.784,0.012932325904273243,0.004900870013118607
1.234089403337447e-05,0.0021766491863858596,0.013532,0.9,6.766,6.766,0.014516226452318705,0.004928877835993272
1.2225885973799092e-05,0.0020815276839799748,0.01358,0.9000000000000015,6.79,6.79,0.013863894743461698,0.0048995420559995485
1.4328695706170111e-05,0.0023405483288246815,0.01342,0.8999999999999969,6.71,6.71,0.01414334159222299,0.004951791132465734
1.727649907007467e-05,0.0025902307511864817,0.013284,0.9000000000000039,6.642,6.642,0.014092566597481211,0.004985376375240441
1.0671122032327336e-05,0.00197981134403708,0.013284,0.9000000000000006,6.642,6.642,0.01310024204877348,0.004952579858512205
1.2206216670791783e-05,0.0021086439042774514,0.01368,0.9000000000000004,6.84,6.84,0.012985037870451788,0.004895968644115539
1.5252185836490823e-05,0.002447197893385483,0.013264,0.9000000000000004,6.632,6.632,0.012354339265930141,0.004988249591552582
1.2916476298727463e-05,0.002215322898373286,0.013196,0.8999999999999996,6.598,6.598,0.012922810279849433,0.005001826947066824
1.2371804072235434e-05,0.002067486030391944,0.013572,0.8999999999999975,6.786,6.786,0.014717183298568614,0.004944475295973473
1.191415387646081e-05,0.0020663496767908164,0.013732,0.8999999999999994,6.866,6.866,0.01378644901982729,0.004874141858013215
1.0701239545151692e-05,0.0019957906400709033,0.01412,0.900000000000001,7.06,7.06,0.014494322637544813,0.0048056273188948175
1.4773668713925665e-05,0.0021854357260934383,0.01368,0.9000000000000016,6.84,6.84,0.012950373593102745,0.004878882262517001
1.273721018878864e-05,0.0021218455548889705,0.013448,0.9000000000000024,6.724,6.724,0.013535563316324523,0.004917940298267217
1.439526871853385e-05,0.0023701042817579196,0.013888,0.9000000000000012,6.944,6.944,0.014169014797678688,0.004848508261502926
1.3962178719740314e-05,0.0022495931661076557,0.013604,0.8999999999999986,6.802,6.802,0.013347493553683393,0.004880298750110662
1.2965835729129784e-05,0.002319595401268411,0.013128,0.9000000000000002,6.564,6.564,0.013100101199839755,0.00503628139813764
1.100119236881942e-05,0.0019629765821463354,0.013648,0.9000000000000006,6.824,6.824,0.01420927521097243,0.00488071725780879
1.3688466659996952e-05,0.0022268502489142692,0.013832,0.9000000000000004,6.916,6.916,0.01451577631673767,0.0048727736597693385
1.2429592388643944e-05,0.002155412211160416,0.013628,0.8999999999999981,6.814,6.814,0.014580274345245487,0.00492865248569428
1.640811038527759e-05,0.0025805856091178307,0.01356,0.8999999999999968,6.78,6.78,0.013505606704585983,0.004930503577435997
1.0121980406947653e-05,0.001956994565312567,0.013016,0.8999999999999995,6.508,6.508,0.013108948469999222,0.005043943308303353
1.0755981481890167e-05,0.001962336145033105,0.013832,0.8999999999999979,6.916,6.916,0.013908611733086763,0.004864266685982407
1.3395585046462773e-05,0.0022311200493131443,0.013268,0.9000000000000001,6.634,6.634,0.013546230380946841,0.004981481034357872
1.865246760734936e-05,0.0026974021400608394,0.01318,0.8999999999999984,6.59,6.59,0.013297415089809413,0.004993118767655794
1.3755284838341977e-05,0.0022658004948662956,0.013408,0.9000000000000001,6.704,6.704,0.013809840328708968,0.004960595890576333
1.407912298435798e-05,0.0022619625805505622,0.013116,0.9000000000000016,6.558,6.558,0.013276367542360272,0.005081375602610844
1.0491055901950043e-05,0.001962842318783616,0.013296,0.8999999999999984,6.648,6.648,0.01405026446160159,0.005011975758746408
1.1938735779123755e-05,0.0020884515139421183,0.013508,0.8999999999999977,6.754,6.754,0.013003541377608547,0.00493376310854641
1.0900849843076497e-05,0.002007606380010533,0.014124,0.9000000000000008,7.062,7.062,0.015901610680599657,0.004799760162896073
1.1944581352426325e-05,0.002047979686837739,0.013364,0.9000000000000012,6.682,6.682,0.013671498292010392,0.004898729185278187
1.251612864528266e-05,0.002132872421246538,0.01356,0.8999999999999999,6.78,6.78,0.013255912548193692,0.004922898004845031
1.7120496263023014e-05,0.002581827342779678,0.01372,0.8999999999999997,6.86,6.86,0.014069419953287147,0.004892443521581315
1.615432647983857e-05,0.002571867425949276,0.013748,0.8999999999999995,6.874,6.874,0.013214838435824187,0.004903912242154993
1.3575460960316624e-05,0.0021174428925030317,0.013616,0.8999999999999985,6.808,6.808,0.012995776297180666,0.0049301333590876534
1.1449354069707073e-05,0.0020462734950178175,0.01346,0.900000000000003,6.73,6.73,0.015453566473136466,0.004941827429960322
1.7413395984875008e-05,0.00274733932008933,0.013472,0.9000000000000017,6.736,6.736,0.013559398622701493,0.004952724726561558
1.449861924059664e-05,0.0023122426199523594,0.013996,0.8999999999999994,6.998,6.998,0.013879756591701735,0.0048288705925908035
1.509488107633076e-05,0.002194004447452674,0.013512,0.9000000000000005,6.756,6.756,0.012072779641049297,0.00491178340616977
1.0721169601008147e-05,0.0019459521554026672,0.013424,0.9000000000000012,6.712,6.712,0.014369896267998821,0.0049329019484752636
1.2539239382353995e-05,0.0021541314125364413,0.013644,0.8999999999999991,6.822,6.822,0.013668107044368698,0.004876628759527087
1.651836349406421e-05,0.0025514547279676583,0.013484,0.9000000000000014,6.742,6.742,0.014453929483682144,0.004931839582780018
1.5470562104745863e-05,0.002413787336192611,0.013228,0.8999999999999997,6.614,6.614,0.012754289849844119,0.004998672042880943
1.3130497907827144e-05,0.0022787469938243122,0.013704,0.9000000000000012,6.852,6.852,0.014941112782174946,0.004909465517380142
1.030521199623474e-05,0.0019322298280721963,0.013652,0.9000000000000012,6.826,6.826,0.015244558101583969,0.0049061013593451955
1.4314986578325639e-05,0.002240124062782664,0.01372,0.8999999999999997,6.86,6.86,0.013272262666862449,0.004907187869715335
1.271251064233961e-05,0.002160641062873636,0.013436,0.9000000000000004,6.718,6.718,0.01367673449371676,0.004935525669813522
1.3399280521511288e-05,0.002293448684081347,0.01362,0.9000000000000007,6.81,6.81,0.013018070629556972,0.0048764919397026995
1.4677830800337367e-05,0.002293307591707778,0.014004,0.9000000000000004,7.002,7.002,0.015375092770361996,0.004849425759148819
1.701178365188715e-05,0.0025174601605817792,0.013424,0.8999999999999999,6.712,6.712,0.013273544536297805,0.004918342709515416
1.4098120684277165e-05,0.002396374421173864,0.01356,0.9,6.78,6.78,0.012251074539968739,0.004961457050647479
1.2953592611000412e-05,0.0021752872028978445,0.013336,0.8999999999999999,6.668,6.668,0.012838465539538138,0.0049930302371811895
1.1591254796809622e-05,0.002162842431045419,0.013592,0.8999999999999995,6.796,6.796,0.01349196359350443,0.004907815631262524
1.5069590142823983e-05,0.0023630995498507977,0.01386,0.9000000000000004,6.93,6.93,0.01258519948763911,0.004871864210348406
1.3953365323141487e-05,0.0022778750410060032,0.013528,0.8999999999999984,6.764,6.764,0.012668201856985296,0.00493883349027372
1.3123072085779486e-05,0.002295089201210822,0.01368,0.8999999999999986,6.84,6.84,0.014342054727089364,0.0048842584767929435
1.3905638591516848e-05,0.0023976505872986063,0.01336,0.9000000000000012,6.68,6.68,0.01381693829719719,0.004934889860041368
1.1130588592905787e-05,0.0020991498633901513,0.013356,0.8999999999999981,6.678,6.678,0.013155657818758557,0.004969778915260239
1.1545685976656343e-05,0.0021150249784746156,0.013204,0.9000000000000005,6.602,6.602,0.012991898321630353,0.0049995090582771965
1.3015775089840133e-05,0.002141935788906261,0.013228,0.9000000000000015,6.614,6.614,0.012324018752476596,0.004973658159692879
1.1963501345026051e-05,0.002167597717786782,0.013392,0.9000000000000009,6.696,6.696,0.013407037178611922,0.004994478917674707
8.64548183906889e-06,0.00179762099037499,0.013192,0.9000000000000011,6.596,6.596,0.012951211455581544,0.00499698996386347
1.1333288644955624e-05,0.0020051253429868854,0.013868,0.9000000000000014,6.934,6.934,0.014052066571688462,0.0048531520873071445
1.1766401168145448e-05,0.002089971869035164,0.013536,0.8999999999999999,6.768,6.768,0.012376771114052578,0.004958575786110373
1.3666181878026904e-05,0.0021296283432190254,0.013456,0.9000000000000004,6.728,6.728,0.012252429387496,0.004959791068079936
1.187218911571207e-05,0.002105449225622939,0.013884,0.8999999999999995,6.942,6.942,0.014079631538326517,0.004891823808259089
1.4372933501602108e-05,0.0023340661822395742,0.01352,0.9000000000000022,6.76,6.76,0.013273261363049096,0.004923203837393663
1.5133615653659077e-05,0.002383870691546865,0.013436,0.9000000000000004,6.718,6.718,0.01316708790180841,0.0049980442813337515
1.0927822952180698e-05,0.0020059416228912015,0.013096,0.9000000000000005,6.548,6.548,0.011245414829333422,0.005070349534410185
1.548231836485322e-05,0.0022846502127360523,0.013024,0.8999999999999996,6.512,6.512,0.013659766852477176,0.005074325357542394
1.2366654174506418e-05,0.002110901967452459,0.013732,0.8999999999999996,6.866,6.866,0.012474048907174557,0.004896459585838344
1.1207789051819573e-05,0.0020577203892142427,0.013656,0.9000000000000001,6.828,6.828,0.013328314778275781,0.004919622377284689
