mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg,mse_dens,mae_dens,dens_dens,spec_rad_dens,av_in_degree_dens,av_out_degree_dens,clustering_coeff_dens,av_betweenness_dens
4.012537263701993e-05,0.00360778208853044,0.100525,0.900000000000002,20.105,20.105,0.10139254104064097,0.005117379828435104,3.9426002624958564e-05,0.0036511424794369073,0.995,0.9000000000000046,199.0,199.0,1.0,0.0,6.673755638643459e-05,0.004820432964283034,0.990475,0.9000000000000001,198.095,198.095,0.9954526031284837,2.2968377239734023e-05
4.459281788088465e-05,0.003975779262672631,0.09875,0.8999999999999989,19.75,19.75,0.09850832439372996,0.005184635297700624,4.3594992102671896e-05,0.004132578054405109,0.995,0.8999999999999991,199.0,199.0,1.0,0.0,4.4596412823128754e-05,0.0036867221034587185,0.99,0.9000000000000007,198.0,198.0,0.994975829200701,2.5379422364346977e-05
4.903899519577441e-05,0.004174303111837074,0.098975,0.8999999999999999,19.795,19.795,0.09955553705792215,0.0051936449926399675,5.093790451040095e-05,0.004193195510535459,0.995,0.8999999999999994,199.0,199.0,1.0,0.0,5.722436891931577e-05,0.004442206548446697,0.9902,0.900000000000001,198.04,198.04,0.9951752445565906,2.436424546977312e-05
4.845448538796964e-05,0.004087332852859888,0.10045,0.899999999999999,20.09,20.09,0.10021023861979554,0.005144916501700422,4.678128605937815e-05,0.004139256300526829,0.995,0.8999999999999991,199.0,199.0,1.0,0.0,8.355789975042027e-05,0.0047482436900432206,0.99015,0.9000000000000011,198.03,198.03,0.9951263599712316,2.4618039693416584e-05
6.0758752692650656e-05,0.0047774927746974906,0.0985,0.9000000000000004,19.7,19.7,0.09889888220127176,0.005183493223694229,6.274032956687158e-05,0.005073406266624529,0.995,0.8999999999999992,199.0,199.0,1.0,0.0,4.326543884335323e-05,0.0036373467735983465,0.99015,0.9000000000000008,198.03,198.03,0.995125844097992,2.4618039693416594e-05
4.865798339270782e-05,0.003931276437542474,0.10075,0.9000000000000015,20.15,20.15,0.1012486863168737,0.005091873508958936,0.00010983436664230776,0.006014444866373708,0.00995,0.9000000000000077,1.99,1.99,0.0,0.33333333333333337,7.457255322743132e-05,0.004332912106853224,0.009875,0.8999999999999967,1.975,1.975,0.010910714285714284,0.01731054261205015
8.471492223099176e-05,0.00583091588183726,0.09845,0.8999999999999991,19.69,19.69,0.09923441961635132,0.00520988782295315,0.00013406035882669275,0.007447976680883095,0.00995,0.9000000000000035,1.99,1.99,0.0,0.33333333333333337,5.577675666589396e-05,0.003694892255822448,0.010275,0.9000000000000047,2.055,2.055,0.010538359788359788,0.01907720420283234
7.076982421787701e-05,0.004512073737126955,0.100125,0.8999999999999989,20.025,20.025,0.10107828147711309,0.005124486066697123,6.898387695571661e-05,0.004825033424375159,0.0163,0.9000000000000004,3.26,3.26,0.08981832048240718,0.32519795949444186,7.622176116758011e-05,0.004597530127934192,0.0161,0.9000000000000026,3.22,3.22,0.020075674325674323,0.015441982640475103
5.5621021308606716e-05,0.0038915303656224935,0.100725,0.9000000000000004,20.145,20.145,0.10031003830400398,0.005136541292320187,6.096415803513235e-05,0.00416773676323763,0.995,0.8999999999999992,199.0,199.0,1.0,0.0,6.419576222532876e-05,0.0045688769915127065,0.99,0.9000000000000008,198.0,198.0,0.9949729016452541,2.5379422364347004e-05
5.4060747974113264e-05,0.004231039121692023,0.09885,0.9000000000000004,19.77,19.77,0.09931342513249077,0.005189076696614385,6.884692822243718e-05,0.004882210831226211,0.04075,0.9000000000000024,8.15,8.15,0.19543757412239743,0.2958771128369118,5.948382860853555e-05,0.003982947422933671,0.041875,0.8999999999999987,8.375,8.375,0.04127029984766407,0.008728617836658037
