mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
5.988789455262252e-05,0.004712491583032435,0.0952,0.9000000000000024,4.76,4.76,0.09137631115437977,0.03289965986394558,5.3173862183943307e-05,0.004701776456907302,0.98,0.9000000000000025,49.0,49.0,1.0,0.0
3.849300459680474e-05,0.002776181230147235,0.0932,0.9000000000000016,4.66,4.66,0.10012341217028782,0.03349489795918367,3.485308847651156e-05,0.0032931519891045615,0.98,0.9000000000000025,49.0,49.0,1.0,0.0
3.957623186708525e-05,0.004682301918819856,0.0984,0.8999999999999991,4.92,4.92,0.10027590960366925,0.03306972789115646,3.813489470458219e-05,0.00371786771658031,0.0568,0.8999999999999984,2.84,2.84,0.1575079365079365,0.3118027210884354
8.626524273525578e-05,0.006647954752640408,0.1032,0.9000000000000006,5.16,5.16,0.10718671488056555,0.03125000000000001,8.220016041624189e-05,0.006562172898937741,0.98,0.9000000000000014,49.0,49.0,1.0,0.0
6.644652325669907e-05,0.0038339741133547635,0.094,0.8999999999999988,4.7,4.7,0.09478442690207396,0.0336734693877551,0.0001241594902437955,0.006313112949825123,0.2328,0.8999999999999964,11.64,11.64,0.5616261947711133,0.17115646258503403
7.847452359132766e-05,0.005477130204735839,0.0868,0.8999999999999992,4.34,4.34,0.06955040643379827,0.0326530612244898,8.04661501877132e-05,0.005469170110821913,0.664,0.900000000000003,33.2,33.2,0.8528795457609697,0.011224489795918367
4.217066171830289e-05,0.003856561240945509,0.094,0.9000000000000015,4.7,4.7,0.09916648631399447,0.03389455782312925,5.0322226713349825e-05,0.004236744356809374,0.6072,0.9000000000000019,30.36,30.36,0.7034711436847738,0.008792517006802721
6.856951128977349e-05,0.004741152641944511,0.092,0.9000000000000015,4.6,4.6,0.08048142025386607,0.034073129251700675,7.011091805544963e-05,0.00552119364224158,0.98,0.9000000000000012,49.0,49.0,1.0,0.0
7.105136752684551e-05,0.0048423963997448576,0.0944,0.8999999999999974,4.72,4.72,0.10144767576732061,0.03274659863945578,5.8860370594087375e-05,0.004407296788786273,0.9728,0.8999999999999972,48.64,48.64,0.9933538830888508,0.0001530612244897959
8.501106180145774e-05,0.004887116434779658,0.0832,0.9000000000000004,4.16,4.16,0.08523140369230241,0.0365391156462585,6.458258829092724e-05,0.00492290931076445,0.98,0.9000000000000001,49.0,49.0,1.0,0.0
