mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
3.4695032321877704e-05,0.003570010981319546,0.096,0.8999999999999997,4.8,4.8,0.10116246035021037,0.03098639455782313,3.663005231298894e-05,0.004178339895379147,0.98,0.8999999999999997,49.0,49.0,1.0,0.0
4.7493761091098606e-05,0.00449441035800221,0.1016,0.8999999999999992,5.08,5.08,0.11281435150678139,0.03164115646258503,3.514594434407606e-05,0.0038046981366747527,0.7608,0.8999999999999996,38.04,38.04,0.9043281480292086,0.00465986394557823
4.446703799220094e-05,0.0037731917587499916,0.0932,0.9000000000000016,4.66,4.66,0.08777947175832174,0.03460884353741497,5.2697638371251247e-05,0.004896442015933642,0.3616,0.9000000000000026,18.08,18.08,0.6440905035377169,0.07328231292517005
6.518868048229504e-05,0.005619077395431457,0.098,0.8999999999999995,4.9,4.9,0.0962742863306985,0.03247448979591836,5.773941516159566e-05,0.0054515490806282835,0.7152,0.8999999999999979,35.76,35.76,0.7338559903298641,0.005629251700680271
3.83749019221754e-05,0.004290565068109826,0.0884,0.9000000000000006,4.42,4.42,0.09225849769026023,0.03686224489795918,3.6511409817123545e-05,0.004317724678725259,0.1248,0.8999999999999999,6.24,6.24,0.45763791763791767,0.24078231292517008
6.188787090678649e-05,0.004970574847903752,0.1056,0.9000000000000009,5.28,5.28,0.11165677262552264,0.03127551020408163,4.2731049951647556e-05,0.0040541536941782795,0.4496,0.9000000000000017,22.48,22.48,0.7260715194425716,0.06972789115646259
6.286433347871238e-05,0.004625724592436394,0.0992,0.8999999999999992,4.96,4.96,0.10013475898427356,0.03199829931972789,6.712268301957479e-05,0.0042332920258985485,0.432,0.8999999999999998,21.6,21.6,0.6633973133273642,0.07962585034013606
6.722215181059921e-05,0.004844487235063393,0.1064,0.9000000000000001,5.32,5.32,0.11387417965654102,0.02954931972789115,0.0001271940125090852,0.008526134983567094,0.0392,0.9000000000000014,1.96,1.96,0.0,0.33333333333333337
4.557235156676473e-05,0.005274800057115138,0.096,0.9000000000000006,4.8,4.8,0.09412384049261302,0.0347108843537415,3.531943359081144e-05,0.00458618746464059,0.188,0.9000000000000011,9.4,9.4,0.3797952305692244,0.12450680272108841
4.2945170023540185e-05,0.004644580489794081,0.104,0.9000000000000024,5.2,5.2,0.11936965348169969,0.031394557823129256,5.652002778289529e-05,0.0060843004848821994,0.0448,0.9000000000000039,2.24,2.24,0.09466666666666666,0.3278061224489796
