mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
3.790145852170689e-05,0.004247035618677903,0.0936,0.899999999999999,4.68,4.68,0.08276303356730988,0.03364795918367346,2.3426984867966635e-05,0.0034885436607356816,0.3288,0.8999999999999999,16.44,16.44,0.789299715821505,0.022363945578231296
1.544284247064969e-05,0.002352333001601779,0.108,0.8999999999999989,5.4,5.4,0.10109780079837487,0.03046768707482993,1.016461240925036e-05,0.001907271730809961,0.1816,0.8999999999999999,9.08,9.08,0.5232864912864913,0.0520578231292517
1.9011750440127287e-05,0.002750921686634278,0.0872,0.9000000000000004,4.36,4.36,0.0919483571983572,0.0333843537414966,2.370764391937637e-05,0.0027295265882874725,0.3584,0.900000000000001,17.92,17.92,0.7705431226509972,0.02362244897959184
1.519269689201863e-05,0.0022552898250178515,0.1052,0.9000000000000019,5.26,5.26,0.12611249302336464,0.030399659863945577,1.667304074470769e-05,0.00252618537050681,0.248,0.9000000000000048,12.4,12.4,0.8199777362300583,0.061003401360544204
2.090074143966765e-05,0.002487130082477771,0.0972,0.8999999999999997,4.86,4.86,0.08796300069692782,0.03443877551020408,3.5523807783188265e-05,0.004056222089508199,0.2328,0.8999999999999982,11.64,11.64,0.7901597520126932,0.03821428571428572
1.9447709201308562e-05,0.0025161740518629618,0.0852,0.9000000000000009,4.26,4.26,0.08878068123351142,0.03793367346938775,1.59811807001922e-05,0.0023758035421348076,0.3216,0.8999999999999985,16.08,16.08,0.7576715843496029,0.035323129251700676
2.1929306523214813e-05,0.0025840424115507682,0.0892,0.9000000000000015,4.46,4.46,0.09319196863947372,0.034668367346938775,2.0841657549185148e-05,0.0026225426356215028,0.2824,0.9000000000000016,14.12,14.12,0.6827341145266841,0.03636054421768708
1.2870504037790391e-05,0.002409171885103138,0.0948,0.9000000000000005,4.74,4.74,0.10047574351215127,0.034591836734693876,8.112162786142182e-06,0.0018397805097499558,0.4272,0.9000000000000017,21.36,21.36,0.7115969494878658,0.023469387755102034
6.5664607414366475e-06,0.0015140000382385284,0.1032,0.9000000000000002,5.16,5.16,0.10670242766888911,0.030977891156462586,7.260832724068631e-06,0.0016062338338770643,0.3408,0.9000000000000016,17.04,17.04,0.8017642306049494,0.027993197278911565
1.7253160082714255e-05,0.0021152091206719237,0.098,0.9,4.9,4.9,0.1118865329402772,0.03296768707482993,1.916860835176141e-05,0.0025106520469496195,0.1992,0.8999999999999954,9.96,9.96,0.6580796980796981,0.04731292517006803
