mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
2.510535541471554e-05,0.00312810750886375,0.1012,0.9000000000000016,10.12,10.12,0.10326229911484315,0.012457225314368173,2.5684800275131834e-05,0.0031229564612792974,0.99,0.9000000000000027,99.0,99.0,1.0,0.0
2.323594023547093e-05,0.003039946433828176,0.0982,0.9000000000000002,9.82,9.82,0.10287603205978951,0.012629354772211913,3.5092958160833074e-05,0.0037474304119247868,0.357,0.8999999999999978,35.7,35.7,0.6923312531016756,0.03629560915275201
1.959717131903518e-05,0.0024676155392598068,0.0992,0.8999999999999997,9.92,9.92,0.1022896416336477,0.012786023500309213,2.387978935587441e-05,0.0030437974744956576,0.3122,0.8999999999999982,31.22,31.22,0.8406913923458765,0.03153782725211298
3.152883048818328e-05,0.003199098232704526,0.0928,0.8999999999999999,9.28,9.28,0.09743401187555102,0.013113790970933827,3.544839952524724e-05,0.003348101059820002,0.2186,0.9000000000000015,21.86,21.86,0.4906019515004836,0.08568130282415998
2.5010751923234813e-05,0.0026092884329951328,0.1011,0.8999999999999998,10.11,10.11,0.10244823706266093,0.012520098948670375,2.052348734839793e-05,0.002762986521042922,0.2434,0.9000000000000004,24.34,24.34,0.6497449616079892,0.06888476602762317
3.356002202152614e-05,0.0032673263265562812,0.0993,0.9000000000000006,9.93,9.93,0.10285428281601497,0.012596371882086167,2.62044730698044e-05,0.0032345509168250066,0.304,0.9000000000000002,30.4,30.4,0.7291457730928924,0.023160173160173162
3.666588525130547e-05,0.0033415977303970284,0.0977,0.8999999999999997,9.77,9.77,0.09884101601522884,0.01285198928056071,2.8990129812572392e-05,0.0033751884269872185,0.19,0.8999999999999999,19.0,19.0,0.48011376614818607,0.10676767676767676
3.239400153518214e-05,0.0031187845272037224,0.0952,0.8999999999999996,9.52,9.52,0.09742938134460619,0.01279839208410637,3.0792156269584335e-05,0.0029541144413432045,0.2218,0.8999999999999987,22.18,22.18,0.47268526565875957,0.1568418882704597
1.3774323791090066e-05,0.0023198348374633827,0.0991,0.9000000000000004,9.91,9.91,0.09922182619697807,0.012610801896516182,1.6405837636546316e-05,0.002941215802255121,0.1258,0.8999999999999999,12.58,12.58,0.4324655046500988,0.14515563801278084
1.6884063969524718e-05,0.0022680921464942093,0.0986,0.9000000000000006,9.86,9.86,0.10255087024547203,0.01262420119562977,3.0456537483650043e-05,0.0031810871344937065,0.4216,0.8999999999999994,42.16,42.16,0.6735555348922958,0.06387755102040817
