mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg,mse_dens,mae_dens,dens_dens,spec_rad_dens,av_in_degree_dens,av_out_degree_dens,clustering_coeff_dens,av_betweenness_dens
0.00010225614781881794,0.007339302139077495,0.095,0.8999999999999976,9.5,9.5,0.09663048326105303,0.013055040197897338,0.000140512132847782,0.008459895712835723,0.3146,0.8999999999999984,31.46,31.46,0.605945504571306,0.0899793856936714,0.0001155564810034072,0.008082707600192484,0.309,0.8999999999999999,30.9,30.9,0.3128814594694675,0.007019171304885591
0.00013382194873195466,0.008776543349127787,0.1021,0.9000000000000011,10.21,10.21,0.10073176864684596,0.012249020820449392,0.00014108817913267312,0.009284526929721246,0.1118,0.9000000000000021,11.18,11.18,0.4345683640929613,0.2321480107194393,0.00010430855731664557,0.007637024641441643,0.106,0.9000000000000004,10.6,10.6,0.106899071986568,0.012010925582354155
0.00011891803407691054,0.00771410596797562,0.0979,0.9000000000000005,9.79,9.79,0.09890879650987104,0.012660276231704801,0.00012299821882759185,0.00806493251701299,0.1512,0.9000000000000024,15.12,15.12,0.4415070912613991,0.19651824366110077,5.1248127735373834e-05,0.005267735314099587,0.1591,0.9000000000000011,15.91,15.91,0.15920647396024756,0.009207379921665636
7.911122268417893e-05,0.006884060781262242,0.1004,0.8999999999999986,10.04,10.04,0.10352318534224852,0.012529375386518245,4.606655616877191e-05,0.0050649513937958655,0.4034,0.8999999999999984,40.34,40.34,0.689844879623261,0.052795299938157084,0.00012636806251450388,0.008449537230410469,0.395,0.9000000000000001,39.5,39.5,0.39769251699223035,0.006132756132756131
0.00010753555272619375,0.007537875013000869,0.0971,0.9000000000000018,9.71,9.71,0.09596981307928111,0.012807668521954238,9.091302444992958e-05,0.007009822772647499,0.7562,0.8999999999999998,75.62,75.62,0.8590253850629819,0.002409812409812409,0.00010400498571027756,0.00770388575469694,0.7453,0.9000000000000006,74.53,74.53,0.7522648968650367,0.002522160379303236
8.619783711602804e-05,0.006894975388444413,0.0942,0.9000000000000005,9.42,9.42,0.0949479091162938,0.013050917336631622,8.423793991977755e-05,0.006759750449162554,0.6758,0.8999999999999998,67.58,67.58,0.817097200383014,0.010061842918985774,0.0001279777632178139,0.00827104245165266,0.6716,0.8999999999999996,67.16,67.16,0.6782609824314626,0.003281797567511852
0.00010498092458425885,0.007630006676527836,0.0934,0.8999999999999992,9.34,9.34,0.09302840038459291,0.013124098124098125,0.00011972625441943754,0.008130675490337982,0.3574,0.899999999999999,35.74,35.74,0.6190254275413584,0.08953823953823953,0.00010013614714033963,0.007674666164696865,0.3575,0.8999999999999995,35.75,35.75,0.3602227252303233,0.006519274376417233
9.823893438812107e-05,0.007332585798602606,0.0924,0.9000000000000015,9.24,9.24,0.09123827393852592,0.013470418470418468,0.00012547987008754906,0.008211288742548676,0.1344,0.9000000000000012,13.44,13.44,0.3684527643861449,0.22141826427540715,0.00010728936564264348,0.007600734922890105,0.1306,0.8999999999999976,13.06,13.06,0.12665429368745926,0.01031230674087817
9.107364902368256e-05,0.007216162061518113,0.1046,0.8999999999999996,10.46,10.46,0.10487682568539959,0.012124304267161412,0.00011746950019324275,0.008051575365361488,0.0278,0.8999999999999995,2.78,2.78,0.1016962481962482,0.3243846629560915,8.69575908907031e-05,0.0068940234436800415,0.0281,0.9000000000000002,2.81,2.81,0.037343383000686375,0.028531230674087818
0.000102462629247756,0.007685189203431932,0.0994,0.9000000000000009,9.94,9.94,0.0992799354483131,0.012762317048031335,0.0001241804234125407,0.008402645652044436,0.0336,0.9000000000000019,3.36,3.36,0.13495471195471195,0.3161492475778189,7.847376433324212e-05,0.006536644007176018,0.0338,0.8999999999999995,3.38,3.38,0.04244664594664594,0.02468357039785611
7.437113310292129e-05,0.006293461948888126,0.1008,0.9000000000000002,10.08,10.08,0.096409138299541,0.012396413110698827,0.00013479618229207482,0.008509956579367272,0.188,0.9000000000000035,18.8,18.8,0.5320606060949933,0.11867862296433726,0.00011441331230939951,0.007839359098043982,0.1828,0.899999999999999,18.28,18.28,0.18471258444062338,0.008575551432694289
0.00013478149735648417,0.00870853452676732,0.102,0.8999999999999977,10.2,10.2,0.10600105056718144,0.012338693052978767,0.00013629392048247697,0.008625816200677866,0.531,0.8999999999999986,53.1,53.1,0.8767058976981045,0.004730983302411872,0.0001222596836225168,0.008409193945741527,0.529,0.9000000000000001,52.9,52.9,0.5331418749536724,0.004751597608740466
0.00010531235014217758,0.007534606966431834,0.097,0.9,9.7,9.7,0.09250246173124031,0.012750979179550608,0.00010625882036029727,0.00759307543542692,0.8376,0.8999999999999985,83.76,83.76,0.9151702134963133,0.0015708101422387138,6.380876080251597e-05,0.006068027269187994,0.832,0.9000000000000006,83.2,83.2,0.8402881635046282,0.0016285301999587715
9.843026526850714e-05,0.00732340389653163,0.0993,0.9000000000000011,9.93,9.93,0.10384358272322013,0.012676767676767675,0.00010542282587392466,0.007652909965294344,0.8736,0.9000000000000022,87.36,87.36,0.9255066692545095,0.001199752628324057,9.793227437955068e-05,0.007305961651379175,0.8633,0.9000000000000005,86.33,86.33,0.8720432981277455,0.001305916305916306
0.00011164976167164129,0.008019192004762348,0.1002,0.899999999999998,10.02,10.02,0.10237988508095068,0.012555143269428984,0.0001282256524157288,0.008733383360826071,0.5714,0.8999999999999989,57.14,57.14,0.8881537762193301,0.004314574314574313,0.00010266614255841261,0.007748958508331998,0.5662,0.8999999999999987,56.62,56.62,0.5719897266919938,0.004368171511028653
