mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg,mse_dens,mae_dens,dens_dens,spec_rad_dens,av_in_degree_dens,av_out_degree_dens,clustering_coeff_dens,av_betweenness_dens
3.1831958909079853e-05,0.002726408679709393,0.099125,0.8999999999999996,19.825,19.825,0.10229954101921573,0.00517994010456322,2.3958324517230308e-05,0.0022151996682822513,0.4991,0.9000000000000001,99.82,99.82,0.7652145089144351,0.054753058220394904,2.143052182134447e-05,0.0021940062428596556,0.49715,0.8999999999999999,99.43,99.43,0.4994099153170937,0.0025270290848180303
2.536026128422687e-05,0.0025333700385190253,0.1016,0.8999999999999999,20.32,20.32,0.10231776741099699,0.005110273590173088,2.4793449603362916e-05,0.0024836305846641493,0.08715,0.9000000000000001,17.43,17.43,0.4212152256278938,0.2369318816303741,3.7731085720761295e-05,0.003464442852895566,0.086525,0.9000000000000001,17.305,17.305,0.08618418292965888,0.0056272524237348355
2.97953861709731e-05,0.0028230340949859357,0.09745,0.899999999999999,19.49,19.49,0.09851295217498483,0.005225623064819045,2.9554153376654722e-05,0.0029729258092193542,0.1651,0.899999999999999,33.02,33.02,0.4461832434593781,0.17208466575300746,1.9272711789534314e-05,0.0019285484878901835,0.163175,0.8999999999999997,32.635,32.635,0.16340989639577586,0.004244581493325212
2.859685408416057e-05,0.002643963852256376,0.097325,0.9000000000000027,19.465,19.465,0.09889210516001035,0.005238566570224863,3.054002218335522e-05,0.002976415458715029,0.45755,0.9000000000000059,91.51,91.51,0.7568843315688827,0.025001268971118217,1.971443010433727e-05,0.0019338663049807594,0.45495,0.9000000000000002,90.99,90.99,0.45660927091057624,0.0027412314095731183
2.0176619301079248e-05,0.001905721330431511,0.0998,0.8999999999999987,19.96,19.96,0.1012554840167068,0.00517410283741942,1.763061729583259e-05,0.0017343991973870515,0.77375,0.8999999999999978,154.75,154.75,0.8014939644191508,0.0011230394396223545,2.4744657031407412e-05,0.0025174034908018498,0.771,0.9000000000000012,154.2,154.2,0.7749688787137083,0.001136998121922745
2.709637346448698e-05,0.0025186449303429646,0.096175,0.8999999999999994,19.235,19.235,0.09523664172655537,0.005274732247094056,2.5661285973699833e-05,0.002524418247571653,0.62625,0.900000000000001,125.25,125.25,0.8307500275087873,0.002941475052027817,2.2547231179649405e-05,0.0021787588381005814,0.620425,0.8999999999999992,124.085,124.085,0.6233912374797556,0.001901299426425054
2.3934269138512483e-05,0.002595505944754974,0.098775,0.9000000000000009,19.755,19.755,0.09982856401469203,0.00519085325617989,2.3154733046753404e-05,0.0024165569849517025,0.2896,0.9000000000000001,57.92,57.92,0.6003971349079312,0.08977539211207552,2.3118770140542062e-05,0.002284613273383007,0.289025,0.8999999999999997,57.805,57.805,0.29080026170462997,0.003583447540733973
2.4412927109197064e-05,0.002484785375322957,0.09815,0.8999999999999999,19.63,19.63,0.09761850273799146,0.005197832597330085,2.3303239211728622e-05,0.0023603400501983926,0.08725,0.9000000000000008,17.45,17.45,0.3160771567335756,0.24217603167351912,2.9217250734409284e-05,0.003089857142797317,0.0854,0.8999999999999991,17.08,17.08,0.0848167465244388,0.005660118775696665
2.6206737953098293e-05,0.0023901592092462937,0.099975,0.9000000000000007,19.995,19.995,0.1000659280358685,0.005153037916857013,3.3885920163822225e-05,0.0031301417697663556,0.01275,0.900000000000001,2.55,2.55,0.059749833499833496,0.3300365463682046,2.1904637217515176e-05,0.0018435133402124127,0.0127,0.9000000000000051,2.54,2.54,0.009322751322751323,0.018048195523069892
2.0687253416955857e-05,0.002173496936575811,0.098875,0.8999999999999998,19.775,19.775,0.09903720027304935,0.005168900055834729,2.4715805822011633e-05,0.00237663671755916,0.012,0.900000000000001,2.4,2.4,0.05281782106782106,0.33060935993096796,2.3898690095312743e-05,0.002140485165971019,0.0121,0.9000000000000019,2.42,2.42,0.0112005772005772,0.018099081264910413
