mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
7.250445641768214e-06,0.0016529518589984088,0.101125,0.8999999999999994,20.225,20.225,0.10129375827259973,0.005125120552256231,9.285853767401898e-06,0.0018317030464445622,0.10155,0.8999999999999984,20.31,20.31,0.682614430984192,0.008260240596924014
1.093477930762003e-05,0.00198367827489308,0.101075,0.9000000000000015,20.215,20.215,0.10056378948180239,0.00511331912085681,3.2412230457226614e-06,0.0010806181532794818,0.06345,0.9000000000000051,12.69,12.69,0.6441544464307623,0.014051824780467993
3.100860602614901e-06,0.0011463367544045264,0.10075,0.8999999999999992,20.15,20.15,0.10147766555267498,0.005134003350083751,2.162114428088331e-06,0.0009404231957338087,0.05975,0.9000000000000022,11.95,11.95,0.6489749973538673,0.016209329475661133
4.4958846993211755e-06,0.001256584491721917,0.099575,0.9000000000000002,19.915,19.915,0.10115429671666805,0.005152530328409725,3.022834571119511e-06,0.0010033228300996347,0.06145,0.9000000000000026,12.29,12.29,0.6184462012931357,0.014564489112227807
2.7948904956192468e-06,0.0010510148318599935,0.0987,0.9000000000000005,19.74,19.74,0.09764887626441415,0.005192502918633573,4.1188191032549576e-06,0.001328057298346974,0.0622,0.9000000000000022,12.44,12.44,0.6182640371903563,0.0154781483173443
4.740165847317257e-06,0.001235266106555886,0.101625,0.9000000000000009,20.325,20.325,0.10348915731855811,0.0051167453428759965,4.606370135278132e-06,0.0012810525549099502,0.1008,0.9000000000000009,20.16,20.16,0.6216856138412402,0.010624333790162935
5.008428656345107e-06,0.001262556839786699,0.103125,0.9000000000000018,20.625,20.625,0.10425041238867774,0.005074742398863002,6.7413123952983025e-06,0.0016336594909090263,0.09405,0.900000000000005,18.81,18.81,0.5952418172295986,0.012536165676869193
1.2831464280189142e-05,0.0023680440436236387,0.096075,0.9000000000000027,19.215,19.215,0.09790613261783139,0.00527130602507487,9.973996896108407e-06,0.002103125484443823,0.11365,0.9000000000000006,22.73,22.73,0.6234240700732758,0.009735292624739857
1.1874179868113895e-05,0.0019348328758339963,0.1006,0.9000000000000012,20.12,20.12,0.10036957710394918,0.005133749555860109,1.217979238424543e-05,0.0019999210785025144,0.12225,0.9000000000000046,24.45,24.45,0.6708529643414467,0.010721283183594743
4.459305966682784e-06,0.0012828742782747626,0.09915,0.8999999999999992,19.83,19.83,0.09951129260717377,0.005156210344652556,4.68525475532015e-06,0.0013000978788790755,0.1038,0.9000000000000005,20.76,20.76,0.6872220450879155,0.011793056190041113
