mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
2.2408631521099093e-05,0.002911108777449001,0.094,0.9000000000000008,4.7,4.7,0.08708912322766516,0.03526360544217686,2.3168111023524883e-05,0.003113372680006683,0.388,0.9000000000000029,19.4,19.4,0.8536958760702893,0.02261904761904762
1.4062526147446556e-05,0.002143839215734966,0.1016,0.8999999999999997,5.08,5.08,0.09496145184372509,0.03355442176870748,1.8782625775767133e-05,0.0024791974215395873,0.2216,0.8999999999999991,11.08,11.08,0.7174050394050394,0.05571428571428572
1.6851304468529017e-05,0.002449861251134154,0.0936,0.9000000000000004,4.68,4.68,0.09547477994025699,0.031794217687074834,6.442834736520774e-06,0.0015733178345587434,0.22,0.8999999999999995,11.0,11.0,0.7654014874014874,0.05617346938775511
2.0729516448770157e-05,0.0026278733362945055,0.0948,0.9000000000000001,4.74,4.74,0.09523940959601421,0.03204081632653061,1.3622199688721082e-05,0.0020165452978984748,0.2168,0.899999999999999,10.84,10.84,0.7446640026640027,0.050731292517006796
1.453087648552234e-05,0.0023587650667734163,0.0932,0.8999999999999995,4.66,4.66,0.09671165377270866,0.032942176870748296,1.2692592916377543e-05,0.002189212767091794,0.208,0.8999999999999996,10.4,10.4,0.6972803862803864,0.057227891156462575
2.5260496234759354e-05,0.0030646227818366934,0.0916,0.9000000000000006,4.58,4.58,0.10624396355278709,0.034336734693877546,2.2086444236772674e-05,0.003055533981754747,0.1952,0.8999999999999988,9.76,9.76,0.6878959928959929,0.06488095238095236
1.4017499221902234e-05,0.002216886565159504,0.106,0.9000000000000017,5.3,5.3,0.10588358465357806,0.030688775510204085,1.8021232682602108e-05,0.0027199882027094907,0.1648,0.9000000000000015,8.24,8.24,0.5719018759018759,0.0895578231292517
8.430891494607754e-06,0.0016896161437515785,0.0996,0.899999999999999,4.98,4.98,0.11297159659717927,0.033579931972789114,1.0514460224496946e-05,0.001955318445079186,0.3736,0.8999999999999986,18.68,18.68,0.79888240712288,0.028350340136054423
1.5786192694947005e-05,0.002097411312177399,0.098,0.8999999999999995,4.9,4.9,0.09267717510765427,0.03274659863945578,2.1094328222624333e-05,0.002777977707997066,0.1464,0.900000000000001,7.32,7.32,0.5135259185259184,0.11401360544217687
9.848626666227488e-06,0.0019978420499469664,0.0912,0.8999999999999981,4.56,4.56,0.10295263255507801,0.03505102040816327,1.1968493528444125e-05,0.0019898628117042145,0.3336,0.8999999999999989,16.68,16.68,0.727461908245988,0.028826530612244897
1.4778817447336727e-05,0.0023982336623229023,0.0972,0.8999999999999996,4.86,4.86,0.09462733345854422,0.03308673469387755,1.3865593231683934e-05,0.002222793840179005,0.3528,0.8999999999999976,17.64,17.64,0.8643772505444332,0.0354421768707483
1.5777893934123006e-05,0.002266502938330272,0.1,0.9000000000000018,5.0,5.0,0.10081809715544501,0.030654761904761896,9.620229338965542e-06,0.0015887884036601182,0.3008,0.9000000000000034,15.04,15.04,0.7101130625480471,0.03790816326530611
1.0309758749732781e-05,0.0018880120072257626,0.106,0.9000000000000006,5.3,5.3,0.10410335633656115,0.031258503401360535,1.193361697821628e-05,0.001784534795219556,0.3176,0.9000000000000004,15.88,15.88,0.8895612002376708,0.040255102040816323
1.768332839104108e-05,0.0026217272752099047,0.0956,0.8999999999999999,4.78,4.78,0.0922981197910278,0.03302721088435374,8.814843793354565e-06,0.0019009334148738439,0.308,0.8999999999999994,15.4,15.4,0.806750127581397,0.03964285714285714
