mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand
1.0791052359928e-05,0.0022508717057012338,0.030055555555555554,0.9000000000000012,9.016666666666667,9.016666666666667,0.030387093837069924,0.006077117610528757
9.301740776974382e-06,0.002125800660017852,0.030955555555555556,0.9000000000000007,9.286666666666667,9.286666666666667,0.030906533434325426,0.00602017912055846
1.0098415529977245e-05,0.002294896814930264,0.02957777777777778,0.8999999999999984,8.873333333333333,8.873333333333333,0.02878343035164729,0.006201394656311494
1.1352953119610221e-05,0.0022539462569201945,0.02861111111111111,0.9000000000000005,8.583333333333334,8.583333333333334,0.027775266102052575,0.006308724832214766
7.863090409323893e-06,0.001909583913618783,0.028855555555555554,0.9000000000000004,8.656666666666666,8.656666666666666,0.029917197735334907,0.00627804837901132
6.766862103725742e-06,0.0018323140904059252,0.0289,0.8999999999999981,8.67,8.67,0.02849412181725265,0.006300045640576717
1.2386273296805237e-05,0.0024578658141668347,0.0292,0.9000000000000009,8.76,8.76,0.02912510509046201,0.006223167456024183
8.790681386687163e-06,0.0020109080315192252,0.02968888888888889,0.900000000000001,8.906666666666666,8.906666666666666,0.029311512904035754,0.006183213246242134
1.627347719706152e-05,0.0026851982833147586,0.03112222222222222,0.9000000000000006,9.336666666666666,9.336666666666666,0.029951207515467468,0.006006748819704757
8.268816384544727e-06,0.002012290264708132,0.03088888888888889,0.8999999999999995,9.266666666666667,9.266666666666667,0.031135141757081167,0.006046067054237465
8.951046876123793e-06,0.002120980288682397,0.031844444444444446,0.9000000000000024,9.553333333333333,9.553333333333333,0.03215471742344856,0.005927289323846079
5.934003272203614e-06,0.0017068772974350999,0.031466666666666664,0.9000000000000001,9.44,9.44,0.03105542307534672,0.005961407525457715
1.1910242172449125e-05,0.002382987119552143,0.030533333333333332,0.8999999999999992,9.16,9.16,0.03188511340422772,0.00609054791138246
1.0581071723907682e-05,0.002265974771506225,0.0304,0.8999999999999997,9.12,9.12,0.029928269846930106,0.006111834377080948
1.1688996926696884e-05,0.00238671496871983,0.030433333333333333,0.8999999999999985,9.13,9.13,0.030614857589409586,0.0061240675480535404
8.195023286040726e-06,0.0019165569096723349,0.031344444444444446,0.9000000000000009,9.403333333333334,9.403333333333334,0.031840762285886864,0.005983965941654883
1.0677858173792531e-05,0.0022342924061148723,0.032433333333333335,0.900000000000001,9.73,9.73,0.03214190792224283,0.005863093233971553
7.648748934027894e-06,0.001980490555115071,0.03186666666666667,0.8999999999999997,9.56,9.56,0.031790696632129425,0.005904094932399572
1.0896622234092815e-05,0.002342443081502294,0.030055555555555554,0.8999999999999981,9.016666666666667,9.016666666666667,0.030409305805080004,0.006134280562351761
1.1836771757151466e-05,0.0024175276254290523,0.03211111111111111,0.8999999999999997,9.633333333333333,9.633333333333333,0.033758900797408335,0.005897174025274404
1.0465043737371193e-05,0.002119549979553611,0.0317,0.8999999999999986,9.51,9.51,0.030517441178051403,0.005926092193964969
8.266396395720286e-06,0.001974740799591705,0.03216666666666667,0.8999999999999988,9.65,9.65,0.033202068131847,0.005859127741240376
8.926439568722068e-06,0.0020848603683769214,0.03283333333333333,0.8999999999999984,9.85,9.85,0.03246083610159545,0.005834362116824913
9.377463887948328e-06,0.0022015049052528037,0.032155555555555555,0.8999999999999996,9.646666666666667,9.646666666666667,0.0330968377862185,0.0059106791467456775
