mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
1.0361186221172166e-05,0.0019084778057251164,0.1008,0.8999999999999998,10.08,10.08,0.10204316188655106,0.01256132756132756,5.654508240832791e-06,0.0014193461306522695,0.224,0.9000000000000001,22.4,22.4,0.7479613865849953,0.011071943929086791
9.696780335258709e-06,0.0020567889202014133,0.0945,0.8999999999999997,9.45,9.45,0.09624546856372108,0.012981859410430839,9.374158500424252e-06,0.001969352848551842,0.1878,0.8999999999999987,18.78,18.78,0.7282555823857695,0.012749948464234176
7.632995881763308e-06,0.0016634950589767023,0.1024,0.8999999999999998,10.24,10.24,0.10013162091015756,0.012367553081838794,4.5534831103215825e-06,0.0013563316367440383,0.1114,0.8999999999999995,11.14,11.14,0.6756371406371406,0.03392290249433107
9.656074111593256e-06,0.0017941644419644947,0.1007,0.8999999999999995,10.07,10.07,0.10084202771743023,0.012373737373737372,9.360580299407392e-06,0.0019054588110782652,0.1184,0.8999999999999984,11.84,11.84,0.6538223998223998,0.03193568336425479
7.174838865920224e-06,0.0016777712704399586,0.1016,0.9000000000000002,10.16,10.16,0.10269242872724708,0.012319109461966606,8.872296042445472e-06,0.0017335072900759245,0.1258,0.8999999999999982,12.58,12.58,0.6583978798978799,0.025077303648732216
8.909611566032071e-06,0.0017499576593810503,0.0986,0.9000000000000011,9.86,9.86,0.09720884033361556,0.012585034013605438,8.491481276270385e-06,0.001818376751673247,0.1146,0.8999999999999968,11.46,11.46,0.6646231546231546,0.03153370439084723
1.4555083032870888e-05,0.0021786127982174885,0.0986,0.9000000000000009,9.86,9.86,0.10154843223316445,0.012625231910946196,5.446997941668059e-06,0.001495122122099384,0.1104,0.9000000000000012,11.04,11.04,0.6556854256854256,0.03430426716141002
1.1781729393009818e-05,0.0021391562807114386,0.1004,0.8999999999999991,10.04,10.04,0.10275552735913551,0.012546897546897546,5.089970343005559e-06,0.0014524538799136043,0.1218,0.8999999999999977,12.18,12.18,0.6481691086691086,0.02560709132137703
9.859993442604339e-06,0.0019675893522087895,0.0972,0.899999999999998,9.72,9.72,0.09949181540697617,0.01276643990929705,7.565613475396894e-06,0.0016445219585116719,0.1208,0.8999999999999994,12.08,12.08,0.6422924297924298,0.026891362605648325
1.1666045189197192e-05,0.0019322059170336313,0.0961,0.900000000000001,9.61,9.61,0.10306677474684602,0.012834467120181403,8.229653961487519e-06,0.0017068346328490036,0.11,0.9000000000000049,11.0,11.0,0.6559170829170828,0.032521129663986806
1.1444537080161804e-05,0.00216430603870369,0.0994,0.8999999999999986,9.94,9.94,0.10208820523418988,0.012502576788291076,7.061153625728751e-06,0.0016340171995319563,0.1134,0.900000000000001,11.34,11.34,0.6344918414918415,0.02973201401772831
5.073075598977971e-06,0.0013173524680679903,0.0956,0.8999999999999986,9.56,9.56,0.09459136576094154,0.012996289424860853,6.394529749263194e-06,0.0016039762381992566,0.1236,0.8999999999999941,12.36,12.36,0.6379629259629259,0.02439084724799011
9.739865717712757e-06,0.0019455825943437617,0.0983,0.9000000000000005,9.83,9.83,0.10231721317288966,0.01266542980828695,7.428581191040865e-06,0.0017102676815883573,0.114,0.9000000000000004,11.4,11.4,0.6352147852147852,0.029134199134199113
8.972333112624012e-06,0.0017074228687521016,0.0991,0.9000000000000005,9.91,9.91,0.10184893722941009,0.012639661925376211,8.595903893176092e-06,0.0016592057651361907,0.1074,0.899999999999999,10.74,10.74,0.6203207348207348,0.03463821892393322
4.971312231685548e-06,0.0013341914425508991,0.1026,0.8999999999999992,10.26,10.26,0.10183908298437017,0.012340754483611625,4.112949424130854e-06,0.0013371589044082332,0.1182,0.8999999999999987,11.82,11.82,0.6341200466200466,0.0258812615955473
7.176140871559739e-06,0.0016066867915219413,0.0964,0.9000000000000017,9.64,9.64,0.0965596002942179,0.01285301999587714,3.943206494564681e-06,0.0012000898530182761,0.1188,0.9000000000000064,11.88,11.88,0.6342480852480853,0.02559884559884559
1.888078840019267e-05,0.0026099189567376784,0.0992,0.8999999999999986,9.92,9.92,0.09622335304866475,0.012559266130694705,1.7144301514748062e-05,0.0020389682082031773,0.106,0.9000000000000026,10.6,10.6,0.6034708624708625,0.03423005565862709
1.4311003308564523e-05,0.002215624170765266,0.0964,0.9000000000000004,9.64,9.64,0.09630469962936937,0.012902494331065757,9.569025250340631e-06,0.0017450500216255346,0.1122,0.9000000000000022,11.22,11.22,0.6166460761460761,0.028272521129663983
1.0516324102153544e-05,0.0018431067488864986,0.1032,0.9000000000000002,10.32,10.32,0.10883143265366693,0.012268604411461555,4.698962648265896e-06,0.0013719785289250572,0.1192,0.9000000000000065,11.92,11.92,0.616991008991009,0.02624407338693053
3.995233577152428e-06,0.0012785941324422248,0.0984,0.9000000000000006,9.84,9.84,0.09591013651475634,0.012601525458668317,4.634980287026219e-06,0.0013936779537779482,0.1076,0.9000000000000077,10.76,10.76,0.5698291708291708,0.032284065141208
9.242342117710583e-06,0.0018233168751141593,0.101,0.8999999999999996,10.1,10.1,0.09983004799337976,0.012419088847660277,9.927601687942767e-06,0.001847306754343876,0.1086,0.900000000000001,10.86,10.86,0.575027417027417,0.030082457225314375
