mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg,mse_dens,mae_dens,dens_dens,spec_rad_dens,av_in_degree_dens,av_out_degree_dens,clustering_coeff_dens,av_betweenness_dens
3.9751662110586647e-05,0.003295585093220539,0.100068,0.9000000000000035,50.034,50.034,0.1002789292749843,0.0018187942149358956,3.900110442186923e-05,0.0032580997997380587,0.998,0.9000000000000011,499.0,499.0,1.0,0.0,4.083844135261121e-05,0.003367993390175485,0.995944,0.9000000000000034,497.972,497.972,0.9979401430107203,4.136787631487886e-06
4.161958751037637e-05,0.003293555122980878,0.100396,0.8999999999999999,50.198,50.198,0.10063498106588734,0.0018179893924394972,4.155773432433543e-05,0.0033036195514787757,0.998,0.9000000000000009,499.0,499.0,1.0,0.0,5.375952887535079e-05,0.0036307767238902625,0.996172,0.9000000000000022,498.086,498.086,0.9981683534802687,3.678038808540788e-06
3.4448638011701846e-05,0.002683094536764945,0.099304,0.8999999999999996,49.652,49.652,0.10003376988435933,0.0018209591874512074,3.314981221045159e-05,0.0026594317018045635,0.998,0.9000000000000009,499.0,499.0,1.0,0.0,4.1990259483993736e-05,0.003196599029975904,0.995936,0.900000000000001,497.968,497.968,0.9979315539541408,4.152884081415852e-06
5.5147122019775556e-05,0.0034064508041437287,0.09934,0.9000000000000015,49.67,49.67,0.098979802478118,0.001820210702529557,5.3724720902295754e-05,0.0034093077274578603,0.998,0.9000000000000009,499.0,499.0,1.0,0.0,4.203652511796801e-05,0.003384904020220538,0.995944,0.9000000000000036,497.972,497.972,0.9979398595322916,4.136787631487884e-06
3.865390813525259e-05,0.003155857074309102,0.10078,0.9000000000000018,50.39,50.39,0.10151589169824168,0.001816242927622313,3.824838922176896e-05,0.003103762425940575,0.76496,0.9000000000000031,382.48,382.48,0.9022642861603892,0.00046888958640171907,4.50925872326589e-05,0.003804417011135393,0.763932,0.9000000000000008,381.966,381.966,0.7654584742672917,0.00047095798021746295
4.953616221235833e-05,0.0036897418372667423,0.099172,0.9000000000000007,49.586,49.586,0.09971893004288508,0.0018215306114236502,4.166408662760563e-05,0.003349092726824312,0.168416,0.9000000000000035,84.208,84.208,0.47339549010031884,0.15486755036176772,3.765424868597266e-05,0.0031171845874470834,0.167252,0.9000000000000007,83.626,83.626,0.16718649439744793,0.0016715197463199485
3.739102378367815e-05,0.0032471449203739333,0.10022,0.9,50.11,50.11,0.1007047564033837,0.0018170879912435308,0.000124662143148125,0.006519693469313769,0.003992,0.9000000000000029,1.996,1.996,0.0,0.33333333333333337,3.305735069271076e-05,0.0019069620976948415,0.004028,0.8999999999999976,2.014,2.014,0.0029833333333333335,0.008927670602248675
3.969062745923759e-05,0.0033719837157896865,0.098996,0.8999999999999986,49.498,49.498,0.09935979474466271,0.0018220054566965255,4.722875213561857e-05,0.00358045711504835,0.04268,0.8999999999999994,21.34,21.34,0.2225609878539751,0.2837065456213632,4.215313694211582e-05,0.0031019205071853933,0.042156,0.8999999999999998,21.078,21.078,0.04170328827938112,0.002710135129697145
4.155324521729367e-05,0.0033374599698590083,0.099092,0.9,49.546,49.546,0.09925879644806938,0.0018219008297719937,3.854805694156624e-05,0.0032526558991014956,0.475192,0.8999999999999984,237.596,237.596,0.8109541162920703,0.00917710119033247,3.358534980910776e-05,0.0030006351957364923,0.474124,0.9000000000000009,237.062,237.062,0.4750621679673902,0.0010540679753080452
4.2225238287661355e-05,0.0034222791838266287,0.09978,0.8999999999999984,49.89,49.89,0.10003683052208343,0.0018185527681869762,4.625318464355583e-05,0.003350152698660607,0.593424,0.8999999999999997,296.712,296.712,0.7324597894303793,0.011180899952515502,4.08260777184747e-05,0.003190753860320056,0.592416,0.9000000000000021,296.208,296.208,0.5935646099413212,0.0008160578184481413
