mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
3.8719388534073566e-05,0.003571889607810464,0.098548,0.8999999999999988,49.274,49.274,0.09913249623982737,0.0018239692235877377,2.0135635414292085e-05,0.00239676203308759,0.013672,0.8999999999999966,6.836,6.836,0.7598064949524156,0.006993070478306015
2.8271262636031833e-05,0.0031105776721832242,0.09944,0.9000000000000004,49.72,49.72,0.09983627150605798,0.0018194139282581223,1.601661183279227e-05,0.002267975047072444,0.01348,0.8999999999999924,6.74,6.74,0.7602041426856142,0.007511440551786332
3.449107903084118e-05,0.003427017112360016,0.099588,0.8999999999999979,49.794,49.794,0.09959396139675902,0.0018203394741289807,1.9618892822834467e-05,0.002564129672124879,0.013432,0.9000000000000147,6.716,6.716,0.75844336338031,0.007871968837272933
4.112204570015542e-05,0.0036255516725734243,0.099764,0.9,49.882,49.882,0.10013881950656912,0.0018199692557806372,2.715092167087428e-05,0.00295459605596803,0.013544,0.9000000000000061,6.772,6.772,0.7548517966829685,0.007351908636550207
3.39600174240979e-05,0.00342763180148247,0.099892,0.9000000000000006,49.946,49.946,0.1004744920098221,0.0018185125270621563,1.7078652655555683e-05,0.00247239804669099,0.01344,0.8999999999999938,6.72,6.72,0.7564693390111498,0.008179893924394973
4.116836270344525e-05,0.003664411366820746,0.09942,0.8999999999999996,49.71,49.71,0.09929993846746087,0.001820733837152216,1.946681022424455e-05,0.002507648360215655,0.013472,0.9000000000000018,6.736,6.736,0.7535436927299405,0.0071990084586844375
4.02063280977242e-05,0.0037895204777420827,0.100324,0.8999999999999994,50.162,50.162,0.10063195208095677,0.0018173133415425227,1.8506812911178607e-05,0.0024866451502411216,0.01352,0.8999999999999966,6.76,6.76,0.7506971734621317,0.008313864677145457
3.9030173117754294e-05,0.0036509796415226145,0.098988,0.8999999999999987,49.494,49.494,0.09884674229693195,0.0018219169262219215,2.0831505076778386e-05,0.002961157111829957,0.013496,0.9000000000000004,6.748,6.748,0.7560240627962095,0.007241937690642328
3.129657373490401e-05,0.003301842575748585,0.099436,0.8999999999999978,49.718,49.718,0.09983377449993412,0.0018216191418982542,1.4135205870092959e-05,0.0023626892739399934,0.013608,0.9000000000000091,6.804,6.804,0.755068842956268,0.008183821458177405
3.0288070779660513e-05,0.003306908267421765,0.099964,0.9000000000000007,49.982,49.982,0.10000137836400724,0.0018179571995396414,1.7901569197824518e-05,0.0022787017664714273,0.01364,0.8999999999999979,6.82,6.82,0.755800603638999,0.007349928773209066
3.2995803388190756e-05,0.003414786351964044,0.099192,0.9000000000000001,49.596,49.596,0.09931493245869406,0.0018216110936732904,1.3538510089240965e-05,0.0021174605550900913,0.013528,0.9000000000000086,6.764,6.764,0.75581894438976,0.007888676952298165
3.94992767459467e-05,0.0037833830016889536,0.099912,0.8999999999999987,49.956,49.956,0.09998791432213192,0.001819236867308915,1.5289637518593152e-05,0.002392053643840179,0.013584,0.8999999999999905,6.792,6.792,0.7564587799187712,0.007880693113133903
3.986200454875728e-05,0.0038497923845577198,0.098308,0.8999999999999988,49.154,49.154,0.09812380169417359,0.00182367143926407,1.9032154169008977e-05,0.002711064553385679,0.013592,0.9000000000000093,6.796,6.796,0.7560172141285626,0.007878906407191872
3.953587556845805e-05,0.0037216799251498234,0.10066,0.9000000000000008,50.33,50.33,0.1008298455427529,0.0018160417219982132,2.5819333531723302e-05,0.003064931777786372,0.013576,0.9000000000000017,6.788,6.788,0.7561673938257739,0.007985513195064823
4.3552586892095536e-05,0.0037730968755477147,0.099992,0.9000000000000004,49.996,49.996,0.1001490904088799,0.001819148336834311,1.812703586129735e-05,0.0025542389970550235,0.013512,0.9000000000000005,6.756,6.756,0.7563571292680081,0.007796734030309608
4.05977670157906e-05,0.0038029393103248903,0.098756,0.8999999999999992,49.378,49.378,0.09926389166588928,0.001823067822391771,1.654901184601002e-05,0.002329567043504555,0.0136,0.9000000000000054,6.8,6.8,0.7523876338760445,0.007948282106381453
3.922226998124438e-05,0.003723576962917612,0.101008,0.8999999999999999,50.504,50.504,0.10067594834496844,0.0018149713080780033,2.4267503949371633e-05,0.0029196049014148786,0.013552,0.9000000000000007,6.776,6.776,0.7526264364065552,0.007578273011887224
2.702482458318239e-05,0.003203572887268629,0.100292,0.899999999999999,50.146,50.146,0.1005266940224339,0.0018174582095918741,2.0640750363228237e-05,0.0028575944686094847,0.013584,0.8999999999999897,6.792,6.792,0.7534449202940579,0.0081659383023074
3.226438319805941e-05,0.0033269921464618366,0.09978,0.8999999999999997,49.89,49.89,0.09987442491705066,0.001819188577959131,1.7988048462263287e-05,0.0026982112560908172,0.013608,0.8999999999999966,6.804,6.804,0.7569374968007148,0.007397864001094557
4.592183201548544e-05,0.0038434373804090423,0.099432,0.9000000000000015,49.716,49.716,0.09945028399991061,0.0018211603930753072,2.6298209502036404e-05,0.0032995716780133857,0.01348,0.9000000000000004,6.74,6.74,0.7558122221200175,0.008266267474708468
3.633021736545188e-05,0.0035376319563666945,0.1002,0.9000000000000006,50.1,50.1,0.1005971117172795,0.0018180054888894252,1.712596458078908e-05,0.0025392178476391983,0.013584,0.8999999999999972,6.792,6.792,0.7563534176277275,0.007400407240183174
3.4196256729635966e-05,0.0033770897673022085,0.098812,0.9000000000000009,49.406,49.406,0.09902366677730019,0.0018219813120216334,2.0180099311160373e-05,0.0025136626608629974,0.013568,0.8999999999999964,6.784,6.784,0.7571503035442533,0.00822898809667528
3.3743826266504834e-05,0.003292477695369673,0.099492,0.9000000000000019,49.746,49.746,0.09965479272995946,0.0018200014486804933,1.3421167668425263e-05,0.0022234393900207317,0.013568,0.9000000000000041,6.784,6.784,0.7585608347493668,0.007505484865312946
3.304769425010306e-05,0.0035575549814682865,0.0999,0.9000000000000001,49.95,49.95,0.0998983303107284,0.0018189068900853914,1.783698913950669e-05,0.00257897101641232,0.01352,0.9000000000000099,6.76,6.76,0.7576688727562796,0.008031581234758675
3.113722095767239e-05,0.0033193234624146776,0.099136,0.9000000000000011,49.568,49.568,0.09944508837085053,0.0018223515303699767,1.7867522590538704e-05,0.002559352218745639,0.01356,0.9000000000000026,6.78,6.78,0.7547281432781919,0.007627495955766965
